model,conformer_id,rg_mass_weighted,rg_equal_weight,end_to_end,apr1_mean_rsa,apr2_mean_rsa,n_edges,mean_degree,graph_density,n_contacts
174,,22.24120432208721,22.208572682533358,31.594699666705253,0.6500824093818665,0.6277719140052795,334,5.138461538461539,0.03983303518187239,334
175,,20.457902880364827,20.416469451328332,24.964366576678678,0.6508603692054749,0.4073040187358856,378,5.815384615384615,0.04508050089445438,378
176,,19.493475999131476,19.530991227393034,36.062704603190696,0.5179172158241272,0.6072144508361816,391,6.015384615384615,0.046630888491353606,391
177,,34.661272477233695,34.601182110223824,117.10815154827934,0.6989558339118958,0.5904147028923035,334,5.138461538461539,0.03983303518187239,334
178,,25.10604636417421,25.094091641938274,18.19985566180152,0.6577425599098206,0.697388231754303,346,5.323076923076923,0.04126416219439475,346
179,,29.08293119873311,29.109923631190014,40.55521460043842,0.7404529452323914,0.7558844089508057,343,5.276923076923077,0.04090638044126416,343
180,,20.5418492308876,20.556568051093638,20.869874572756284,0.40036940574645996,0.5528535842895508,409,6.292307692307692,0.04877757901013715,409
181,,24.259712771057274,24.25829341154598,61.905667840037204,0.5641053915023804,0.4410088360309601,356,5.476923076923077,0.04245676803816339,355
182,,26.251261042690647,26.26168917440997,43.55535495644415,0.7241737246513367,0.592477560043335,313,4.815384615384615,0.03732856290995826,313
183,,20.49238126980949,20.50395256761627,9.845218323841777,0.5755751132965088,0.6325909495353699,371,5.707692307692308,0.04424567680381634,371
184,,22.294564596641894,22.30474164268931,34.07365332411737,0.6669676303863525,0.6062632203102112,389,5.984615384615385,0.04639236732259988,389
185,,23.698918025803867,23.678423882496954,13.774344481986729,0.4649588465690613,0.6991158127784729,381,5.861538461538461,0.045438282647584975,381
186,,25.89682326103396,25.851562550391243,86.1796911980697,0.5516692996025085,0.7137860655784607,359,5.523076923076923,0.042814549791293975,359
187,,24.52283290899931,24.535138756259595,36.41320032604532,0.573314905166626,0.7396110892295837,324,4.984615384615385,0.03864042933810376,324
188,,27.673874211541314,27.606536775132646,87.1637705249018,0.7014883160591125,0.5004822015762329,327,5.030769230769231,0.038998211091234344,327
189,,27.871119116447307,27.90958595479817,50.14879744933217,0.6677078604698181,0.5689248442649841,347,5.338461538461538,0.04138342277877161,347
190,,53.41007368746039,53.42678339510387,115.75445244752744,0.6929736137390137,0.7566011548042297,293,4.507692307692308,0.03494335122242099,293
191,,29.763191281338575,29.75665518666773,48.00920843158743,0.6377220153808594,0.7501225471496582,305,4.6923076923076925,0.03637447823494335,305
192,,24.12971928157235,24.142434003793838,31.846163635296122,0.6928237676620483,0.6331162452697754,354,5.446153846153846,0.04221824686940966,354
193,,25.519745453390247,25.516279466112422,42.21114108890495,0.6852108836174011,0.576777458190918,350,5.384615384615385,0.04174120453190221,350
194,,27.170625412453504,27.156811299515073,67.99268928637758,0.4535987973213196,0.54584139585495,375,5.769230769230769,0.044722719141323794,375
195,,21.747861908914068,21.758648812433275,30.694447057927945,0.6692135334014893,0.4167703092098236,362,5.569230769230769,0.04317233154442457,362
196,,36.568166963155996,36.529889710171275,94.35802323214999,0.6576749682426453,0.5661550760269165,359,5.523076923076923,0.042814549791293975,359
197,,27.49504455020331,27.501021310826737,30.472557450272372,0.5146828889846802,0.5835450291633606,339,5.2153846153846155,0.04042933810375671,339
198,,57.18218082827993,57.242142458265306,145.0672049116792,0.6995174288749695,0.7685879468917847,294,4.523076923076923,0.03506261180679785,294
199,,26.716429599445554,26.725426102695227,74.95570111043378,0.5163764953613281,0.5366700887680054,387,5.953846153846154,0.046153846153846156,387
200,,22.856243078811396,22.858070503989723,23.96669769999651,0.5821002125740051,0.6922829151153564,378,5.815384615384615,0.04508050089445438,378
201,,55.87792159778656,55.86324729520957,163.02289685493548,0.6016067862510681,0.7999624013900757,315,4.846153846153846,0.03756708407871199,315
202,,31.899325068822684,31.898422334456594,62.673961924172986,0.7758060097694397,0.6488614678382874,301,4.630769230769231,0.035897435897435895,301
203,,21.575029550995136,21.570663513348254,63.86064985733245,0.6594077944755554,0.7279282808303833,348,5.3538461538461535,0.04150268336314848,348
204,,38.62672567033557,38.65753960846977,82.97150279028834,0.7313408851623535,0.5759900212287903,292,4.492307692307692,0.034824090638044126,292
205,,24.761065527792802,24.770871299880014,28.12326488924784,0.6572974920272827,0.6120537519454956,359,5.523076923076923,0.042814549791293975,359
206,,22.924045822897277,22.975925322761267,56.47006385754853,0.6771097183227539,0.6191194653511047,347,5.338461538461538,0.04138342277877161,347
207,,24.776913624422185,24.82455016277293,26.630046684423366,0.7586409449577332,0.7344698905944824,340,5.230769230769231,0.04054859868813357,340
208,,27.64085764806433,27.607866504057554,55.3569657621436,0.5398089289665222,0.6821575164794922,326,5.015384615384615,0.03887895050685748,326
